1000 1000
6048 2425 83
6265 3227 27
1581 883 61
6061 8474 97
1669 4536 3
5675 5359 10
9429 570 80
7608 5222 27
2199 7776 48
5294 2635 50
9085 5928 3
7128 2996 7
7118 2092 87
9894 2339 24
8075 5324 29
164 2258 96
3685 8979 94
9911 6187 66
9493 620 56
2362 951 20
4265 205 94
3521 1498 48
418 8734 96
7076 5959 86
7515 4844 4
4674 1259 78
7654 2386 66
2920 8003 91
373 8933 83
7846 5054 98
8944 2356 41
9108 5332 16
9508 10 18
2448 4379 39
3905 3213 2
1850 3577 10
3597 1367 55
9789 6546 97
9040 6597 74
1549 7340 19
9529 870 39
1732 9945 49
9329 5940 13
5787 4755 32
8877 6697 98
549 469 87
2422 4259 69
8178 7686 75
4197 8732 40
1928 906 57
249 5725 53
9470 1687 74
6787 7362 50
2240 8441 5
3377 6903 6
8613 707 51
9431 7443 68
738 5242 77
5855 7194 30
7279 3888 30
4662 9725 85
8791 8329 100
5274 2911 99
4865 7149 45
6315 7549 13
676 4509 7
4885 7095 25
4201 3852 97
6273 5400 21
7155 6417 64
4127 1245 46
6922 3591 2
5725 6291 72
3263 4515 58
5115 5571 91
4560 3416 36
1947 8314 51
8598 5138 66
2970 4904 46
1646 6123 11
2480 6759 57
6814 369 28
8177 1693 56
4982 3258 7
5828 1195 29
6956 8109 69
8325 3070 73
3886 2408 94
8125 6248 28
5241 9376 7
9911 3027 21
6512 4389 69
4159 8099 8
8721 5989 19
4744 4169 74
6888 8172 32
9165 3393 31
77 965 87
8852 6763 62
9588 2223 93
8254 3277 45
2851 6559 74
3124 6212 17
7331 7829 96
3906 2875 68
8429 5266 82
8486 5911 59
4633 3345 59
6461 1119 87
6800 9572 100
8759 10000 37
1648 6618 2
3282 9479 13
8146 6894 85
5865 6481 85
9711 9872 89
5881 6217 62
2476 4187 37
7375 1737 94
3861 927 58
3803 2249 93
2321 9873 96
2253 5657 10
1480 2610 49
1870 8309 30
6958 8882 77
7779 350 41
5132 6194 40
76 6551 69
8087 5401 41
4644 623 10
4856 8718 25
8913 5991 62
3365 2663 26
9659 5058 69
4162 438 44
2841 8165 87
7667 9898 40
8928 4575 34
9408 6200 41
1107 5447 64
5116 9424 46
8612 184 23
8038 4615 59
1874 9675 40
97 2666 17
6532 5152 42
1681 1610 68
1760 3633 89
7629 1960 5
1940 5250 39
5862 9315 21
1568 1091 12
1775 425 77
2308 9409 69
9027 4150 96
5714 6821 39
453 6327 26
571 3518 42
8805 5507 89
2307 366 23
5717 2514 36
6118 2565 82
4368 5042 36
8597 1734 68
1300 1966 54
1850 1746 85
592 5828 45
1082 3904 78
4592 4815 56
1761 122 27
6922 6058 45
5154 8848 61
7530 307 42
7981 8883 77
4748 2793 52
846 9502 1
8478 6901 56
9322 1226 75
2085 2797 100
8916 7444 30
4771 3744 63
6175 3301 79
3281 8026 51
3061 3498 82
3701 9661 17
9576 7093 83
2498 7249 86
5581 1205 59
5415 8092 42
8008 7039 66
8502 3415 32
1841 3370 88
6643 609 42
5832 4784 67
9339 4772 8
4918 7131 46
236 2566 53
8476 2559 22
6284 4899 34
3261 6196 63
1009 7833 81
2866 9212 76
2400 7120 83
4486 2325 87
528 381 35
710 2423 62
7751 2617 89
#output
0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1 1 1 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 1 1 1 1 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 1 0 1 1 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 
